modnr, pixrad, nmod, tot_t, mod_t, burn_t
001472, 8, 200, 3.21, 1.85, 1.02
000781, 8, 200, 3.60, 2.28, 0.97
002084, 12, 200, 87.87, 17.81, 61.13
000726, 5, 200, 1.41, 0.62, 0.63
000219, 8, 200, 8.65, 2.40, 5.24
000873, 8, 200, 2.79, 1.42, 1.05
003577, 11, 200, 57.25, 10.12, 40.40
001788, 12, 200, 14.18, 4.63, 8.00
000541, 8, 200, 2.94, 1.55, 1.04
002531, 12, 200, 16.01, 5.24, 8.85
001855, 11, 200, 53.39, 8.63, 39.14
003024, 8, 200, 3.24, 1.88, 1.01
002656, 8, 200, 3.11, 1.58, 1.16
003293, 12, 0, 0, 0, 0
003433, 12, 200, 91.25, 14.03, 68.32
003068, 8, 0, 0, 0, 0
001397, 8, 200, 3.12, 1.89, 0.90
002728, 8, 200, 3.81, 2.23, 1.15
003408, 12, 200, 16.40, 5.30, 8.91
002275, 12, 200, 13.19, 4.58, 7.15
003442, 12, 200, 89.50, 15.49, 64.27
000194, 8, 1400, 10.13, 8.79, 1.05
002519, 8, 200, 3.13, 1.59, 1.16
000966, 8, 200, 2.60, 1.39, 0.90
000438, 8, 200, 3.13, 1.57, 1.15
001249, 8, 200, 3.29, 1.93, 1.04
002874, 6, 200, 1.68, 1.07, 0.43
002357, 12, 200, 16.65, 5.35, 9.33
002117, 11, 200, 53.51, 9.52, 38.35
002210, 8, 200, 3.15, 1.54, 1.15
000864, 5, 200, 1.38, 0.60, 0.62
002711, 8, 200, 9.14, 3.08, 5.03
000569, 8, 200, 9.16, 3.11, 5.08
000249, 8, 200, 3.14, 1.58, 1.16
002344, 8, 200, 2.58, 1.37, 0.90
000171, 8, 200, 8.84, 2.56, 5.24
000147, 8, 1000, 11.84, 10.31, 1.15
000544, 8, 200, 8.87, 2.45, 5.40
001493, 10, 200, 6.24, 2.86, 2.54
003023, 8, 200, 11.94, 4.02, 6.69
002833, 8, 200, 2.74, 1.38, 1.06
002721, 8, 200, 10.51, 3.36, 6.10
000702, 8, 200, 3.14, 1.58, 1.15
000756, 8, 200, 3.02, 1.67, 1.04
002248, 8, 200, 3.12, 1.87, 0.89
000089, 5, 200, 2.00, 1.24, 0.57
003355, 8, 200, 9.65, 3.28, 5.34
000652, 8, 200, 3.15, 1.60, 1.16
003563, 11, 200, 8.69, 2.84, 4.71
001772, 8, 200, 3.22, 1.85, 1.02
002946, 8, 200, 3.68, 2.18, 1.12
000154, 8, 1000, 10.34, 9.09, 0.95
001220, 8, 200, 3.30, 1.96, 1.03
002576, 12, 200, 16.69, 5.32, 9.14
001501, 10, 200, 5.66, 2.26, 2.61
000257, 8, 200, 3.67, 2.15, 1.14
003491, 8, 200, 3.74, 2.22, 1.12
000602, 8, 200, 3.68, 2.16, 1.13
000337, 7, 400, 16.44, 3.19, 11.69
001133, 8, 200, 2.77, 1.34, 1.08
002556, 11, 200, 285.16, 32.31, 224.54
001660, 7, 300, 4.57, 1.66, 2.37
002358, 12, 200, 87.00, 17.15, 61.12
002111, 8, 200, 9.48, 2.88, 5.56
003340, 8, 200, 10.18, 3.09, 5.93
000497, 8, 200, 3.11, 1.57, 1.15
000743, 5, 200, 1.20, 0.43, 0.61
003164, 12, 200, 12.91, 4.38, 6.97
